organisation_id,subsidiary_id,submission_period,packaging_activity,packaging_type,packaging_class,packaging_material,packaging_material_weight,submission_period_desc,submitter_id,packaging_material_subtype,ram_rag_rating
110000,110001,2025-H1,SO,HH,O1,AL,100000,January to June 2025,11111111-1111-1111-1111-111111111111,NULL,R
110000,110001,2025-H1,SO,HH,O1,AL,200000,January to June 2025,11111111-1111-1111-1111-111111111111,NULL,R-M
110000,110001,2025-H1,SO,HH,O1,AL,300000,January to June 2025,11111111-1111-1111-1111-111111111111,NULL,A
110000,110001,2025-H1,SO,HH,O1,AL,400000,January to June 2025,11111111-1111-1111-1111-111111111111,NULL,A-M
110000,110001,2025-H1,SO,HH,O1,AL,500000,January to June 2025,11111111-1111-1111-1111-111111111111,NULL,G
110000,110001,2025-H1,SO,HH,O1,AL,600000,January to June 2025,11111111-1111-1111-1111-111111111111,NULL,G-M
110000,110001,2025-H2,SO,HH,O1,AL,100000,July to December 2025,11111111-1111-1111-1111-111111111111,NULL,R
110000,110001,2025-H2,SO,HH,O1,AL,200000,July to December 2025,11111111-1111-1111-1111-111111111111,NULL,R-M
110000,110001,2025-H2,SO,HH,O1,AL,300000,July to December 2025,11111111-1111-1111-1111-111111111111,NULL,A
110000,110001,2025-H2,SO,HH,O1,AL,400000,July to December 2025,11111111-1111-1111-1111-111111111111,NULL,A-M
110000,110001,2025-H2,SO,HH,O1,AL,500000,July to December 2025,11111111-1111-1111-1111-111111111111,NULL,G
110000,110001,2025-H2,SO,HH,O1,AL,600000,July to December 2025,11111111-1111-1111-1111-111111111111,NULL,G-M
110000,110001,2025-H1,SO,CW,O1,AL,1000000,January to June 2025,11111111-1111-1111-1111-111111111111,NULL,NULL
110000,110001,2025-H2,SO,CW,O1,AL,1000000,July to December 2025,11111111-1111-1111-1111-111111111111,NULL,NULL
110000,110002,2025-H1,SO,HH,O1,AL,10000,January to June 2025,11111111-1111-1111-1111-111111111111,NULL,R
110000,110002,2025-H1,SO,HH,O1,AL,20000,January to June 2025,11111111-1111-1111-1111-111111111111,NULL,R-M
110000,110002,2025-H1,SO,HH,O1,AL,30000,January to June 2025,11111111-1111-1111-1111-111111111111,NULL,A
110000,110002,2025-H1,SO,HH,O1,AL,40000,January to June 2025,11111111-1111-1111-1111-111111111111,NULL,A-M
110000,110002,2025-H1,SO,HH,O1,AL,50000,January to June 2025,11111111-1111-1111-1111-111111111111,NULL,G
110000,110002,2025-H1,SO,HH,O1,AL,60000,January to June 2025,11111111-1111-1111-1111-111111111111,NULL,G-M
110000,110002,2025-H2,SO,HH,O1,AL,10000,July to December 2025,11111111-1111-1111-1111-111111111111,NULL,R
110000,110002,2025-H2,SO,HH,O1,AL,20000,July to December 2025,11111111-1111-1111-1111-111111111111,NULL,R-M
110000,110002,2025-H2,SO,HH,O1,AL,30000,July to December 2025,11111111-1111-1111-1111-111111111111,NULL,A
110000,110002,2025-H2,SO,HH,O1,AL,40000,July to December 2025,11111111-1111-1111-1111-111111111111,NULL,A-M
110000,110002,2025-H2,SO,HH,O1,AL,50000,July to December 2025,11111111-1111-1111-1111-111111111111,NULL,G
110000,110002,2025-H2,SO,HH,O1,AL,60000,July to December 2025,11111111-1111-1111-1111-111111111111,NULL,G-M
110000,110002,2025-H1,SO,CW,O1,AL,100000,January to June 2025,11111111-1111-1111-1111-111111111111,NULL,NULL
110000,110002,2025-H2,SO,CW,O1,AL,100000,July to December 2025,11111111-1111-1111-1111-111111111111,NULL,NULL

210000,210001,2025-H1,SO,HH,O1,AL,433424,January to June 2025,22222222-2222-2222-2222-222222222221,NULL,R
210000,210002,2025-H1,SO,HH,O1,AL,10923,January to June 2025,22222222-2222-2222-2222-222222222221,NULL,R
220000,NULL,2025-H1,SO,HH,O1,AL,238214,January to June 2025,22222222-2222-2222-2222-222222222222,NULL,R
230000,230001,2025-H2,SO,HH,O1,AL,131254,July to December 2025,22222222-2222-2222-2222-222222222223,NULL,R
230000,230002,2025-H2,SO,HH,O1,AL,218293,July to December 2025,22222222-2222-2222-2222-222222222223,NULL,R
240000,NULL,2025-H2,SO,HH,O1,AL,423212,July to December 2025,22222222-2222-2222-2222-222222222224,NULL,R

310000,310001,2025-H1,SO,HH,O1,AL,433424,January to June 2025,33333333-3333-3333-3333-333333333331,NULL,A
310000,310002,2025-H1,SO,HH,O1,AL,10923,January to June 2025,33333333-3333-3333-3333-333333333331,NULL,NULL
320000,NULL,2025-H1,SO,HH,O1,AL,238214,January to June 2025,33333333-3333-3333-3333-333333333332,NULL,NULL
330000,330001,2025-H2,SO,HH,O1,AL,131254,July to December 2025,33333333-3333-3333-3333-333333333333,NULL,A
330000,330002,2025-H2,SO,HH,O1,AL,218293,July to December 2025,33333333-3333-3333-3333-333333333333,NULL,NULL
340000,NULL,2025-H2,SO,HH,O1,AL,423212,July to December 2025,33333333-3333-3333-3333-333333333334,NULL,NULL

41000,NULL,2025-H1,SO,HH,O1,AL,123456,January to June 2025,11111111-1111-1111-1111-111111111111,NULL,R

510000,NULL,2025-H1,SO,HH,O1,AL,123456,January to June 2025,55555555-5555-5555-5555-555555555555,NULL,R
