organisation_id,subsidiary_id,organisation_name,trading_name,obligation_status,submitter_id,error_code,num_days_obligated,status_code,joiner_date,leaver_date,has_h1,has_h2
100001,100001,Good L1 Ltd,,O,11111111-1111-1111-1111-111111111111,NULL,NULL,NULL,NULL,NULL,1,1
100001,100002,Good L2 Ltd,,O,11111111-1111-1111-1111-111111111111,NULL,NULL,NULL,NULL,NULL,1,1

200001,200001,Non Partial H1 L1 Ltd,,O,22222222-2222-2222-2222-222222222221,NULL,NULL,NULL,NULL,NULL,1,1
200001,200002,Partial H1 L2 Ltd,,O,22222222-2222-2222-2222-222222222221,NULL,233,02,22-05-2025,NULL,1,1
200003,NULL,Partial H1 L1 Ltd,,O,22222222-2222-2222-2222-222222222222,NULL,150,02,01-04-2025,NULL,1,1
200004,200004,Non Partial H2 L1 Ltd,,O,22222222-2222-2222-2222-222222222223,NULL,NULL,NULL,NULL,NULL,1,1
200004,200005,Partial H2 L2 Ltd,,O,22222222-2222-2222-2222-222222222223,NULL,233,02,22-05-2025,NULL,1,1
200006,NULL,Partial H2 L1 Ltd,,O,22222222-2222-2222-2222-222222222224,NULL,150,02,01-04-2025,NULL,1,1

300001,300001,Amber Non Partial H1 L1 Ltd,,O,33333333-3333-3333-3333-333333333331,NULL,NULL,NULL,NULL,NULL,1,1
300001,300002,Scaledup Partial H1 L2 Ltd,,O,33333333-3333-3333-3333-333333333331,NULL,233,02,22-05-2025,NULL,1,1
300003,NULL,Scaledup Partial H1 L1 Ltd,,O,33333333-3333-3333-3333-333333333332,NULL,150,02,01-04-2025,NULL,1,1
300004,300004,Amber Non Partial H2 L1 Ltd,,O,33333333-3333-3333-3333-333333333333,NULL,NULL,NULL,NULL,NULL,1,1
300004,300005,Scaledup Partial H2 L2 Ltd,,O,33333333-3333-3333-3333-333333333333,NULL,233,02,22-05-2025,NULL,1,1
300006,NULL,Scaledup Partial H2 L1 Ltd,,O,33333333-3333-3333-3333-333333333334,NULL,150,02,01-04-2025,NULL,1,1

400001,NULL,Missing reg Ltd - different submitter,,O,44444444-4444-4444-4444-444444444444,NULL,NULL,NULL,NULL,NULL,1,1

500001,NULL,Error 1 Ltd,,E,55555555-5555-5555-5555-555555555555,Some error code,NULL,Some status code,NULL,NULL,1,1
